Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.029270588,-0.291359425,0.132483125,0.801708221,0.863237027
0.037296567,-0.277106047,0.107364774,1.024271965,1.066512079
0.045353062,-0.245239496,0.036122561,1.298782349,1.32222647
0.053379041,-0.260349512,-0.074198604,1.518024445,1.541974551
0.061405019,-0.258139372,-0.144432902,1.700041771,1.725583618
0.069430998,-0.289058924,-0.219341517,1.774371147,1.811093242
0.077456976,-0.3584373,-0.317542017,1.708254814,1.774103926
0.085482955,-0.416808367,-0.461471558,1.514637947,1.637318944
0.09353945,-0.453835964,-0.575992584,1.277549744,1.473047144
0.101565429,-0.534900665,-0.691493988,1.065662384,1.378375484
0.109591407,-0.552203417,-0.770940125,0.890915871,1.301156554
0.117617386,-0.480969191,-0.787554205,0.606140137,1.104073753
0.125643364,-0.286449432,-0.762794197,0.295582771,0.866762619
0.133669343,-0.05331564,-0.660285235,0.059576035,0.66510785
0.141725838,0.259379625,-0.577432573,-0.246209145,0.679209179
0.149751817,0.461286068,-0.452246547,-0.396958351,0.758213498
0.157777795,0.587273836,-0.275231987,-0.436673164,0.781873812
0.165803774,0.597549677,-0.080845535,-0.366528511,0.705652015
0.173829752,0.595834971,0.043220848,-0.212234497,0.633980154
0.181855731,0.568880081,0.077400178,0.07423687,0.578901069
0.189912226,0.445891142,0.003401101,0.397544861,0.597387976
0.197938205,0.369232178,-0.276063383,0.717047691,0.852467468
0.205964183,0.313014507,-0.549767852,1.047259331,1.223509247
0.213990162,0.38169837,-0.744531393,1.472734451,1.693802646
0.22201614,0.367989779,-0.876010895,1.912407875,2.135442681
0.230042119,0.402139187,-0.969306231,2.202210426,2.439467412
0.238068097,0.489910841,-0.989400387,2.275716782,2.529389774
0.246124593,0.599497557,-1.011912823,2.279072762,2.564671038
0.254150571,0.631284833,-0.921825886,2.111933708,2.389256682
0.26217655,0.406625867,-0.729109049,1.707891464,1.901009693
0.270202528,0.254640698,-0.573160052,1.367006302,1.504014814
0.278228507,0.037052035,-0.342663109,1.000460625,1.0581646
0.286285002,-0.041524291,-0.14390707,0.514258385,0.535625987
0.29431098,-0.119575381,-0.00982815,0.114347458,0.165741381
0.302336958,-0.204852581,0.117759228,-0.292175293,0.375763513
0.310362937,-0.243093848,0.196377903,-0.586450577,0.664517253
0.318388916,-0.189184666,0.325314939,-0.862143517,0.940697662
0.326414895,-0.113710642,0.542783022,-0.988625526,1.13354486
0.334440873,-0.097397566,0.698301792,-0.888920784,1.134588841
0.342497368,-0.214900017,0.531778693,-0.805357933,0.988722406
0.350523346,-0.285049439,0.166844368,-0.860129356,0.921364605
0.358549325,1.074149132,-0.548169732,-1.512525082,1.93442977
0.366575303,1.093481898,-1.139736176,-1.833522797,2.420022119
0.374601282,1.15788877,-1.365432739,-2.338879585,2.945415197
0.38262726,1.136337876,-1.391150236,-2.580656052,3.144256415
0.39065324,1.129695654,-1.145233512,-2.436858654,2.919940439
0.398679218,1.31332171,-0.648404837,-1.877780437,2.381449583
0.406735713,1.579818368,-0.089112997,-1.077840805,1.914551645
0.414761691,1.716725707,0.312262237,-0.230685234,1.760076855
0.42278767,1.789972067,0.558232665,0.459284782,1.930431615
0.430813648,1.706878543,0.888450146,0.758647919,2.06841115
0.438839627,1.477895856,1.18817246,0.831471443,2.070573523
0.446865605,1.365524054,1.451331258,0.445789337,2.041995713
0.454891583,1.239915609,1.712073445,0.241918564,2.127700823
0.462948079,1.158121943,1.835095167,0.211995125,2.18031251
0.470974058,1.100696325,1.840700865,0.470574379,2.195712258
0.479000036,1.166042805,1.689839959,0.698501587,2.16866765
0.487026015,1.063684225,1.319209576,0.924422264,1.930361251
0.495051993,0.506147623,0.966256142,1.073628426,1.530527472
0.503077971,0.28101325,0.416508853,0.922040939,1.05005122
0.51110395,0.425955772,-0.265917838,-0.313957214,0.592215965
0.519129928,0.552814484,-1.305975676,-1.358736038,1.964011186
0.527186424,0.636168718,-2.433730125,-2.194460392,3.338174557
0.535212403,0.836359024,-3.082260847,-3.009774208,4.388458628
0.543238381,0.58684063,-2.257979155,-3.352329731,4.084233883
0.551264359,0.074957848,-0.830265164,-2.687767982,2.814081671
0.559290338,-0.439563513,0.294607878,-1.396501064,1.493393821
0.567346834,0.045450687,0.662517309,-1.084245682,1.271449428
0.575372812,0.823160887,0.689385653,-1.388262749,1.755027032
0.583398791,1.646899581,0.611555517,-1.916203976,2.599637678
0.591424769,2.200655937,0.1548118,-1.908704758,2.917191646
0.599450748,2.537871122,-0.293537021,-0.932004929,2.719482856
0.607507243,3.253972769,-0.734519124,0.141368866,3.338838463
0.615533222,3.683105707,-1.190048575,0.84226799,3.961173895
0.6235592,3.791498661,-1.724795341,1.58122921,4.455408722
0.631585179,3.575766325,-2.100725174,2.112164497,4.654072403
0.639641674,3.198558331,-2.262205124,2.420476913,4.605111932
0.647667653,2.824019909,-2.134313583,2.623428345,4.405991284
0.655693631,2.998071671,-1.977579117,2.474204063,4.36130011
0.66371961,4.14670229,-2.180205345,1.510045052,4.922262821
0.671745588,5.897990227,-2.90093708,0.575898171,6.59798328
0.679802083,8.504306793,-3.897712231,0.085493088,9.355356954
0.687828062,10.53337765,-4.754260063,0.547266007,11.569552
0.69585404,11.85290051,-5.296241283,1.57952404,13.07808542
0.703880018,13.03519344,-6.854786873,3.642677307,15.17146892
0.711905997,13.29695129,-7.899333,4.911592484,16.22751109
0.719962493,12.45660782,-8.395219803,5.5260849,16.00576172
0.727988471,10.7323103,-8.341769218,4.514103889,14.32287443
0.73601445,9.320919991,-8.007245064,3.073778152,12.66663472
0.744040428,8.072457314,-7.436071396,1.314557076,11.05385838
0.752096924,7.162066936,-6.841161251,-0.564782143,9.920467173
0.760122902,6.282786369,-6.188467503,-2.357990265,9.128562465
0.768148881,4.679224968,-5.337045193,-3.640315056,7.97690989
0.776174859,2.145099163,-3.930737495,-3.956838608,5.975677321
0.784231355,0.040244341,-2.311990023,-3.682669163,4.348444507
0.792257334,-2.365067482,-1.341133237,-2.54455328,3.723833233
0.800283312,-3.779958725,-0.325616628,-0.751853943,3.867738164
0.80830929,-3.941082716,0.116172999,0.313858032,3.955266869
0.816365785,-4.11312294,0.197109819,-0.262367249,4.126193061
0.824391764,-5.273287296,1.081380367,-0.252131462,5.388925002
0.832417742,-6.945137024,2.878350258,-0.444283485,7.531083342
