"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.032709700E-2,6.739274263E-1,6.944465637E-1,3.369920731E0,3.506108945E0
1.835310100E-2,1.318461537E0,5.202186108E-1,3.568281174E0,3.839478970E0
2.637910300E-2,1.916639805E0,3.757083416E-1,3.488264084E0,3.997830814E0
3.440510600E-2,2.323856354E0,2.764644623E-1,3.302943230E0,4.047984058E0
4.246162500E-2,2.258605480E0,8.687210083E-2,3.142178535E0,3.870675836E0
5.048762800E-2,1.855039239E0,-1.722719669E-1,3.232770920E0,3.731173546E0
5.851363100E-2,9.645835161E-1,-4.582648277E-1,3.518276215E0,3.676777874E0
6.653963400E-2,-9.095478058E-2,-7.406990528E-1,3.614124298E0,3.690366147E0
7.456563600E-2,-6.049029827E-1,-1.130982399E0,2.759407997E0,3.042919864E0
8.262215700E-2,-9.190616608E-1,-1.429854512E0,1.358430862E0,2.175888938E0
9.064816000E-2,-1.384779096E0,-1.502502441E0,4.827184677E-1,2.099558013E0
9.867416200E-2,-1.688189268E0,-1.360692024E0,1.094684601E-1,2.171047934E0
1.067001650E-1,-1.537408829E0,-1.235330224E0,-1.997280121E-2,1.972324918E0
1.147261680E-1,-1.071359754E0,-1.031636477E0,-1.834650040E-1,1.498580978E0
1.227826880E-1,-4.302762747E-1,-8.510594368E-1,-5.556945801E-1,1.103737425E0
1.308086910E-1,5.824029446E-2,-8.701167107E-1,-1.121634483E0,1.420759985E0
1.388346940E-1,8.805513382E-2,-7.382340431E-1,-1.557897091E0,1.726205826E0
1.468606970E-1,1.801543236E-1,-6.609597206E-1,-1.950098038E0,2.066931467E0
1.549172170E-1,1.439025402E-1,-6.565968990E-1,-2.470263004E0,2.560083346E0
1.629432200E-1,-1.194832325E-1,-6.829981804E-1,-2.889524460E0,2.971550834E0
1.709692220E-1,-3.284193277E-1,-6.730456352E-1,-3.106992722E0,3.195974570E0
1.789952250E-1,-4.218006730E-1,-6.902916431E-1,-3.301061630E0,3.398738920E0
1.870212280E-1,-4.713653922E-1,-6.950531006E-1,-3.429156780E0,3.530495768E0
1.950777470E-1,-6.471266747E-1,-6.828323603E-1,-3.398784637E0,3.526580493E0
2.031037510E-1,-7.677997947E-1,-5.602450371E-1,-3.308220387E0,3.442050719E0
2.111297540E-1,-6.058985591E-1,-4.987473488E-1,-3.328433990E0,3.419698058E0
2.191557570E-1,-1.882099509E-1,-3.068203926E-1,-3.525743961E0,3.544070008E0
2.271817590E-1,-1.955930591E-1,-2.015841007E-1,-3.527223587E0,3.538389327E0
2.352382790E-1,-1.291171312E-1,-1.337451935E-1,-3.669466496E0,3.674172474E0
2.432642810E-1,1.180658340E-1,-1.025824547E-1,-3.809478283E0,3.812687699E0
2.512902840E-1,2.729580402E-1,6.064963341E-2,-3.884081364E0,3.894133088E0
2.593162870E-1,2.429828644E-1,2.999162674E-2,-4.164971828E0,4.172161371E0
2.673728070E-1,-3.407585621E-2,-4.468202591E-2,-4.407299519E0,4.407657733E0
2.753988100E-1,-3.447116613E-1,-9.083318710E-2,-4.470011711E0,4.484203552E0
2.834248130E-1,-3.493247032E-1,-4.644870758E-3,-4.192650318E0,4.207180292E0
2.914508160E-1,-5.789464712E-1,-2.788543701E-2,-3.543402672E0,3.590495663E0
2.994768180E-1,-5.260640383E-2,4.650521278E-1,-2.792154312E0,2.831106960E0
3.075028210E-1,1.037478447E-3,5.452878475E-1,-2.218972206E0,2.284989620E0
3.155593420E-1,-2.499056458E-1,2.844064236E-1,-1.809762478E0,1.848940256E0
3.235853440E-1,-9.729677439E-2,1.778614521E-1,-1.525316238E0,1.538730316E0
3.316113470E-1,2.052667141E-1,4.023063183E-1,-1.245402336E0,1.324768575E0
3.396373500E-1,4.376550913E-1,5.543029308E-1,-1.151862144E0,1.351140303E0
3.476633530E-1,6.358814240E-1,5.172014236E-1,-1.015382767E0,1.304930903E0
3.557198730E-1,6.602407694E-1,2.536718845E-1,-9.466600418E-1,1.181707465E0
3.637458760E-1,9.474269152E-1,1.553349495E-1,-1.034262657E0,1.411186008E0
3.717718780E-1,1.092196584E0,2.479507923E-1,-1.460513115E0,1.840508498E0
3.797978810E-1,1.312528491E0,6.530587673E-1,-1.750113487E0,2.283005478E0
3.878238840E-1,1.331647754E0,1.137313128E0,-1.920726299E0,2.599222270E0
3.958804040E-1,1.153712273E0,1.353905201E0,-1.702291012E0,2.462093822E0
4.039064070E-1,8.557736874E-1,1.242143869E0,-1.114173889E0,1.875274234E0
4.119324100E-1,6.895596981E-1,6.438312531E-1,-4.618597031E-1,1.050393091E0
4.199584130E-1,8.494838476E-1,3.051259518E-1,5.793352127E-1,1.072545543E0
4.280149320E-1,1.362583518E0,3.367989063E-1,1.426250458E0,2.001064146E0
4.360409350E-1,2.123615503E0,-1.743245125E-2,1.912393570E0,2.857848117E0
4.440669380E-1,2.897775173E0,-1.096220016E-1,2.302781105E0,3.702960809E0
4.520929400E-1,4.143882751E0,-1.421382427E-1,2.553109169E0,4.869325823E0
4.601494610E-1,3.784818649E0,5.375497341E-1,3.002929688E0,4.861213700E0
4.681754630E-1,2.645690441E0,2.841992378E-1,3.126174927E0,4.105291316E0
4.762014660E-1,1.555532813E0,-3.442548513E-1,3.223476410E0,3.595691018E0
4.842274690E-1,9.130541086E-1,-7.956043482E-1,3.492086411E0,3.696122506E0
4.922839890E-1,4.205447435E-1,-1.397336721E0,4.317581177E0,4.557511932E0
5.003099920E-1,4.902230501E-1,-1.866616607E0,5.123985291E0,5.475381398E0
5.083359950E-1,4.696619511E-1,-2.217102051E0,6.050362587E0,6.460883166E0
5.163619980E-1,1.004657626E0,-2.513125658E0,6.641645432E0,7.171930811E0
5.244185180E-1,1.221448064E0,-2.428986311E0,6.697156906E0,7.227988690E0
5.324445210E-1,1.501589179E0,-2.375500441E0,6.185292244E0,6.793792207E0
5.404705230E-1,1.464684844E0,-2.231586456E0,4.937311172E0,5.612692885E0
5.484965260E-1,2.107864857E0,-2.156019688E0,3.622992516E0,4.713553852E0
5.565530460E-1,2.987463951E0,-2.690638542E0,2.065760612E0,4.520159680E0
5.645790480E-1,2.476834774E0,-2.331554413E0,3.626203537E-1,3.420869772E0
5.726050510E-1,1.819552064E0,-2.470867395E0,-1.202306747E0,3.295678521E0
5.806310540E-1,1.774300814E0,-3.011228085E0,-2.795413971E0,4.475486256E0
5.886570580E-1,2.140759945E0,-3.484044075E0,-3.959025860E0,5.691687098E0
5.967135770E-1,2.298836708E0,-3.413471222E0,-5.038748741E0,6.505799326E0
6.047395800E-1,2.374121189E0,-3.373894215E0,-5.884249687E0,7.186376554E0
6.127655830E-1,2.052122593E0,-3.454510689E0,-6.590636253E0,7.718894834E0
6.207915850E-1,2.137106657E0,-3.569310188E0,-7.163137436E0,8.283582438E0
6.288481060E-1,2.100425243E0,-3.545942783E0,-7.294502258E0,8.378261134E0
6.368741080E-1,1.634032726E0,-3.982110023E0,-7.419148445E0,8.577355469E0
6.449001110E-1,4.138727188E-1,-4.747305393E0,-7.512774944E0,8.896627816E0
6.529261140E-1,-1.057899237E0,-5.402216911E0,-7.752037525E0,9.507743378E0
6.609826340E-1,-2.170282841E0,-5.429670334E0,-8.224674225E0,1.009141782E1
6.690086370E-1,-2.689588547E0,-5.230545044E0,-8.780601501E0,1.056841761E1
6.770346400E-1,-2.851798773E0,-5.178392410E0,-9.751605988E0,1.140361011E1
6.850606430E-1,-3.197333574E0,-5.145063877E0,-1.067257786E1,1.227185978E1
6.931171620E-1,-3.326621532E0,-5.424870491E0,-1.117635345E1,1.286104612E1
7.011431660E-1,-3.593284845E0,-5.842082977E0,-1.100926685E1,1.297095163E1
7.091691680E-1,4.668340683E-1,-9.126214981E0,-1.003786659E1,1.357440605E1
7.171951710E-1,-1.522317410E0,-7.968854427E0,-8.554203033E0,1.178959205E1
7.252211740E-1,-4.948207378E0,-5.307786942E0,-5.633657455E0,9.186699886E0
7.332776930E-1,-6.986351490E0,-5.369208813E0,-3.584074259E0,9.512260442E0
7.413036960E-1,-8.977472305E0,-5.714513302E0,-1.734924078E0,1.078242240E1
7.493296990E-1,-9.525145531E0,-6.026751041E0,-5.526447296E-1,1.128519126E1
7.573557020E-1,-9.943031311E0,-6.142255783E0,-7.654285431E-2,1.168747349E1
7.654122220E-1,-9.509448051E0,-6.456445217E0,-5.015933514E-1,1.150508075E1
7.734382250E-1,-9.597667694E0,-5.923471451E0,-4.848630428E-1,1.128883658E1
7.814642280E-1,-9.816370010E0,-5.118077278E0,2.156319618E-1,1.107259375E1
7.894902300E-1,-9.054792404E0,-5.066363335E0,3.643054962E-1,1.038219733E1
7.975162330E-1,-7.652453423E0,-5.457574844E0,9.119498730E-1,9.443347878E0
8.055727530E-1,-5.987891674E0,-6.001401424E0,2.077475309E0,8.728549102E0
8.135987560E-1,-3.695014477E0,-6.128685951E0,3.898961782E0,8.149590570E0
8.216247590E-1,-8.404636383E-1,-5.678564548E0,6.185598850E0,8.438845158E0
8.296507620E-1,1.771999359E0,-5.220327377E0,8.181201935E0,9.865285842E0
8.376767640E-1,4.940247536E0,-4.606966972E0,1.015853119E1,1.219942402E1
8.457332850E-1,8.530614853E0,-3.519336700E0,1.177093506E1,1.495700614E1
8.537592880E-1,1.145991802E1,-3.027966499E0,1.278344250E1,1.743314958E1
8.617852900E-1,1.254216576E1,-3.349664450E0,1.293896198E1,1.832874548E1
8.698112930E-1,1.205512333E1,-3.288673639E0,1.250864124E1,1.768070922E1
8.778678120E-1,1.062366009E1,-2.837745428E0,1.121026516E1,1.570302511E1
8.858938150E-1,9.054847717E0,-2.991153479E0,9.323127747E0,1.333634048E1
8.939198190E-1,8.270685196E0,-2.738275290E0,7.074433327E0,1.122274441E1
9.019458220E-1,9.091474533E0,-1.608227968E0,4.912204742E0,1.045806205E1
9.099718250E-1,1.065611076E1,-2.235112190E-1,3.688057423E0,1.127849376E1
9.180283440E-1,1.321605682E1,7.692515850E-1,3.322412491E0,1.364896812E1
9.260543470E-1,1.553593063E1,1.242325306E0,3.408756971E0,1.595393797E1
9.340803490E-1,1.831359482E1,2.012337446E0,3.101456165E0,1.868304813E1
9.421368700E-1,2.025947952E1,2.963189602E0,2.022722721E0,2.057470317E1
9.501628730E-1,2.035119629E1,2.594283104E0,1.164976716E0,2.054893345E1
9.581888750E-1,1.848062515E1,1.056893110E0,7.985289097E-1,1.852803761E1
9.662453960E-1,1.403719711E1,1.014420271E0,1.290154338E0,1.413281463E1
9.742713980E-1,9.835353851E0,2.821648598E0,2.459732056E0,1.052360052E1
9.822974010E-1,6.224500656E0,3.224866867E0,1.636148095E0,7.198691223E0
9.903539200E-1,4.462860107E0,2.773084641E0,1.193905234E0,5.388184153E0
9.983799230E-1,4.317429543E0,2.532574892E0,8.378893137E-1,5.075055856E0
1.006405926E0,5.148789406E0,2.555398226E0,1.440342665E-1,5.749855503E0
1.014462446E0,5.372348785E0,2.413580894E0,-2.626056433E0,6.448540656E0
1.022488449E0,3.731746674E0,2.383978367E0,-1.083712578E1,1.170694585E1
1.030514452E0,2.013701439E0,2.269758940E0,-1.796588516E1,1.822031363E1
1.038570972E0,1.707265854E0,1.961492300E0,-1.630897903E1,1.651499337E1
1.046596975E0,3.163327217E0,8.256497383E-1,-9.199080467E0,9.762756681E0
1.054622978E0,4.213994026E0,3.546047211E-1,-4.550345421E0,6.212015262E0
1.062679498E0,5.640315056E0,1.482353210E0,-2.975015879E0,6.546849964E0
1.070705501E0,7.489164352E0,2.793836355E0,-3.327314854E0,8.658182743E0
1.078731504E0,1.004443169E1,3.405159235E0,-3.809369087E0,1.126929502E1
1.086788023E0,1.241039276E1,3.102200508E0,-4.276368618E0,1.348809939E1
1.094814026E0,1.569151402E1,2.716810226E0,-3.447882652E0,1.629394258E1
1.102840028E0,1.886217690E1,3.642210484E0,-1.214609027E0,1.924896593E1
1.110896549E0,1.708945084E1,3.865117073E0,-2.273597717E-1,1.752256124E1
1.118922552E0,1.058468819E1,2.547104597E0,-2.857354164E0,1.125556923E1
1.126948554E0,1.306096554E1,1.709509850E0,-3.391569138E0,1.360198463E1
1.135005075E0,2.800053024E1,5.307506084E0,7.744203091E0,2.953255824E1
1.143031077E0,1.906370926E1,8.211479187E0,1.065832520E1,2.333352303E1
1.151057080E0,1.134212017E1,7.030735016E0,8.177646637E0,1.565084117E1
1.159083083E0,4.175281525E-2,4.913060665E0,8.859459162E-1,4.992475194E0
1.167139602E0,-9.520757675E0,4.859715462E0,-5.419923306E0,1.198487504E1
1.175165606E0,-1.064493084E1,3.999387503E0,-2.765254498E0,1.170283237E1
1.183222125E0,-9.030615807E0,3.820531368E0,-1.472789526E0,9.915522718E0
1.191248128E0,-3.939708710E0,4.854357719E0,-1.315819621E0,6.388855520E0
1.199274131E0,1.872474670E0,6.314931393E0,-9.126257896E-2,6.587324855E0
1.207330651E0,8.302087784E-1,6.502015591E0,-2.932429314E-2,6.554869432E0
1.215356654E0,-1.717112541E0,5.066644669E0,1.034421921E0,5.448797334E0
1.223413174E0,-5.921884537E0,3.934283257E0,-2.250292540E0,7.457286217E0
1.231439177E0,-6.317961693E0,3.134477615E0,-2.270591259E0,7.409262753E0
1.239465180E0,-2.249469757E0,3.107801437E0,-1.766461134E-1,3.840540042E0
1.247521699E0,-1.391707420E0,5.015857220E0,4.659265280E-1,5.226161184E0
1.255547702E0,-2.396680832E0,5.875505447E0,8.610773087E-1,6.403678428E0
1.263604222E0,-5.525217056E-1,3.239586353E0,-8.705489039E-1,3.399714013E0
1.271630225E0,-3.283494473E0,5.551286221E0,-2.253829241E-1,6.453596836E0
1.279656228E0,-6.234336376E0,8.644879341E0,-1.559430838E0,1.077184819E1
1.287712748E0,-7.966421604E0,1.093826962E1,-4.502986431E0,1.426136397E1
1.295738751E0,-8.080393791E0,1.233708572E1,-5.052186966E0,1.558913215E1
1.303764754E0,-9.024805069E0,1.185544014E1,-5.098517895E0,1.574780785E1
1.311821273E0,-8.991613388E0,9.059332848E0,-4.478686333E0,1.352698245E1
1.319847276E0,-7.970950127E0,7.679626465E0,-2.778731823E0,1.141201381E1
1.327873279E0,-5.999225616E0,7.399573326E0,-9.675059319E-1,9.574991443E0
1.335929799E0,-5.711495399E0,6.701278687E0,7.811048031E-1,8.839595039E0
1.343986319E0,-5.026256561E0,5.070743084E0,1.596652031E0,7.316077375E0
1.352012322E0,-5.263387680E0,3.878476381E0,3.187852859E0,7.273804697E0
1.360038325E0,-5.716720581E0,1.619760990E0,1.941879988E0,6.251033335E0
1.368094844E0,-6.869955063E0,-6.572327614E-1,9.522604942E-1,6.966709232E0
1.376163244E0,-8.944468498E0,-1.521930695E0,-7.678940892E-1,9.105462706E0
1.384189251E0,-9.965826035E0,-2.636926651E0,-3.421908855E0,1.086188432E1
1.392245775E0,-9.811580658E0,-3.567926407E0,-3.823105812E0,1.111815416E1
1.400271781E0,-9.463886261E0,-3.934853077E0,-2.015180111E0,1.044553315E1
1.408297788E0,-1.022390079E1,-3.472914934E0,4.438806176E-1,1.080677175E1
1.416415346E0,-1.004942322E1,-4.111839294E0,3.547188044E-1,1.086388305E1
1.424441353E0,-4.914734840E0,-6.760216713E0,-1.934493303E0,8.578893454E0
1.432467359E0,6.527452469E-1,-6.631202698E0,-4.201417923E0,7.877235438E0
1.440523882E0,2.980051994E0,-6.073861122E0,-5.038025856E0,8.435295095E0
1.502508943E0,2.601720810E0,3.440314770E0,7.813825607E-1,4.383523194E0
1.510534934E0,2.876639843E0,3.342583179E0,1.644875526E0,4.706754146E0
1.518591442E0,3.194608212E0,3.186798334E0,2.759337425E0,5.289153833E0
1.526617433E0,3.505515575E0,3.024530411E0,3.777224541E0,5.975269775E0
1.534643425E0,3.306804180E0,2.724229813E0,4.041624069E0,5.889915710E0
1.542669416E0,2.827900410E0,2.366225958E0,3.333302498E0,4.970608771E0
1.550725924E0,2.339462280E0,2.184734106E0,2.539353371E0,4.085885757E0
1.558751916E0,1.964012146E0,2.216814756E0,1.745635986E0,3.437856363E0
1.566777907E0,1.855595589E0,2.347625017E0,1.378397942E0,3.294625790E0
1.574803898E0,2.025502682E0,2.350126982E0,1.781032562E0,3.577406174E0
1.582829889E0,2.333997250E0,2.181208134E0,2.741843224E0,4.209859421E0
1.590886397E0,2.566256046E0,1.963546991E0,4.019796371E0,5.157513912E0
1.598912388E0,2.656465530E0,1.777239799E0,5.684492111E0,6.521414032E0
1.606938379E0,2.708842278E0,1.174161196E0,6.914572716E0,7.518496980E0
1.614964370E0,2.637311459E0,4.687798023E-1,7.639843941E0,8.095824953E0
1.623020879E0,2.550597429E0,2.597527206E-2,7.698206902E0,8.109784921E0
1.631046870E0,2.108817816E0,8.291722834E-2,7.064746857E0,7.373237823E0
1.639072861E0,1.829083323E0,3.475243449E-1,5.734494209E0,6.029157720E0
1.647098852E0,1.751800537E0,7.499131560E-1,4.058238983E0,4.483355720E0
