Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.003667123,-0.33980298,-0.044017076,0.050963402,0.346411369
0.01172362,-0.071652412,-0.199640155,0.941606522,0.965201068
0.0197496,-0.151139736,-0.149591446,1.31245327,1.329569256
0.02777558,-0.261046648,-0.015436411,1.388569832,1.412979056
0.035801559,-0.379661799,0.196843982,1.229945183,1.302173486
0.043827539,-0.489121199,0.450108171,0.790589333,1.03289322
0.051884035,-0.470561981,0.592882276,0.141739845,0.770083213
0.059910015,-0.345171213,0.618090272,-0.552148819,0.897801241
0.067935995,-0.273996353,0.661391854,-1.159528732,1.362725236
0.075961975,-0.443410397,0.63994813,-1.472692013,1.665823566
0.083987954,-0.781072378,0.555184007,-1.687281132,1.940417728
0.092013934,-1.08165884,0.435671568,-1.746971607,2.100405998
0.10007043,-1.305487633,0.271677136,-1.467349052,1.982730357
0.108096409,-1.36730504,0.127468824,-1.070031166,1.740901511
0.116122389,-1.291009426,0.044586301,-0.699515343,1.469018377
0.124148368,-1.189333677,-0.036738753,-0.159836769,1.200588241
0.132174349,-1.030708075,-0.057320833,0.120308876,1.039287755
0.140200329,-0.940708637,0.005163312,0.297972679,0.986786257
0.148256825,-0.907372236,0.145338774,0.261425972,0.955401106
0.156282804,-0.940605402,0.253156424,0.063124657,0.976120597
0.164308784,-0.914240837,0.365923524,-0.34611702,1.04380713
0.172334763,-0.9058249,0.458431006,-0.80001545,1.292556558
0.180360743,-0.933530092,0.506953239,-1.113453865,1.53891505
0.18841724,-1.006138563,0.483405829,-1.273788929,1.693674774
0.19644322,-1.063887835,0.498257041,-1.327630997,1.772772255
0.204469199,-1.107764482,0.488983095,-1.178612709,1.689785351
0.212495179,-1.102142572,0.487563908,-0.891457558,1.499044159
0.220521158,-1.032021284,0.491581202,-0.507863045,1.250857658
0.228547138,-0.850726843,0.503110468,-0.137208939,0.997838964
0.236573117,-0.718352556,0.540539324,0.085264206,0.903041052
0.244629615,-0.583006382,0.546149433,0.291760445,0.850470341
0.252655594,-0.571490049,0.430517435,0.353806496,0.798201212
0.260681574,-0.480024099,0.334778011,0.253005028,0.637582149
0.268707553,-0.525236368,0.40857327,0.058965683,0.668043645
0.276733533,-0.51854682,0.437871158,-0.101793289,0.686282616
0.28479003,-0.451640368,0.493672192,-0.237734795,0.710076818
0.292816009,-0.4208107,0.579532504,-0.371385574,0.80676317
0.300841989,-0.480509996,0.660467088,-0.465031624,0.939872886
0.308867969,-0.52156353,0.760397792,-0.559626579,1.078617275
0.316893948,-0.593122959,0.861973822,-0.564470291,1.188873595
0.324950445,-0.631535292,0.883648217,-0.455842018,1.177906168
0.332976425,-0.595454216,0.856098115,-0.332285881,1.094478695
0.341002404,-0.525762081,0.742000341,-0.099620819,0.914830356
0.349028384,-0.402467966,0.668282151,0.24787426,0.818549416
0.357054364,-0.35413146,0.587658286,0.584270477,0.901178863
0.36511086,-0.2576828,0.489548206,0.811677933,0.982282515
0.373136839,-0.216551065,0.421437025,0.873861313,0.994050866
0.381162819,-0.236784935,0.418398798,0.807571411,0.939838413
0.389188798,-0.273761511,0.521640003,0.586128235,0.831023444
0.397214779,-0.325562,0.644379318,0.316398621,0.788240705
0.405271275,-0.395574093,0.836641908,0.002176285,0.925447611
0.413297254,-0.395065785,0.987544,-0.297348976,1.104416832
0.421323234,-0.37750268,1.082799554,-0.501734734,1.251679228
0.429349214,-0.340354919,1.106693029,-0.625975609,1.316228094
0.437375193,-0.26833868,1.049507618,-0.639456749,1.257925602
0.445401173,-0.287750483,0.987369418,-0.625769615,1.203863082
0.453427152,-0.310635805,0.87581414,-0.498902321,1.054726759
0.461453132,-0.423171759,0.775919497,-0.275460243,0.92574497
0.469509629,-0.405512333,0.650202036,0.161964417,0.783221177
0.477535609,-0.346409321,0.548756242,0.656117439,0.92283418
0.485561588,-0.286972046,0.432638884,1.217264175,1.323352346
0.493587568,-0.255858183,0.402247727,1.570931435,1.641673602
0.501613547,-0.261637449,0.42763108,1.662971497,1.736892827
0.509639527,-0.254995942,0.509681225,1.563175201,1.663825289
0.517665506,-0.242223144,0.528682709,1.37833786,1.495992217
0.525691486,-0.141783476,0.539132536,1.052716255,1.191208613
0.533747983,0.00055027,0.58700335,0.772397995,0.970140144
0.541773963,-0.002566457,0.622080565,0.601607323,0.865402904
0.549799942,0.007513165,0.541439235,0.485236168,0.727094926
0.557825922,0.015011668,0.451010525,0.451948166,0.638665005
0.565851901,0.091600657,0.277109563,0.583061218,0.652028201
0.573877881,0.188926816,0.111026883,0.79925251,0.828748988
0.581903861,0.223219514,0.002866924,1.158034325,1.179355191
0.58992984,0.158246756,-0.072670579,1.679069519,1.688075087
0.597986337,0.07072556,-0.090643704,2.075796127,2.078977621
0.606012317,0.052126646,-0.215868175,2.363353729,2.373764332
0.614038296,0.150311828,-0.396888882,2.449252129,2.485749468
0.622064276,0.207762957,-0.568530798,2.36979866,2.445881928
