Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.015258125,-0.180577514,-0.186043199,-1.897923755,1.915550806
0.025309125,0.267747075,0.058952505,-1.821570228,1.842086315
0.035361125,0.525897553,0.331434801,-1.743261393,1.850777552
0.045413125,0.714456224,0.473423908,-1.730757122,1.931346191
0.055464125,0.736699471,0.395597468,-1.7912951,1.976856495
0.065516125,0.711181052,0.214916165,-1.823032032,1.968606928
0.075567125,0.540624204,0.146104962,-1.692557847,1.782799275
0.085619125,0.273815461,0.230480284,-1.460689434,1.503898165
0.095671125,-0.031494565,0.34096167,-1.129055243,1.179835797
0.105722125,-0.080541449,0.29837786,-0.895290577,0.947133301
0.115774125,-0.049337782,0.081589416,-0.929400895,0.934278905
0.125825125,-0.005237205,-0.030992289,-1.03690137,1.037377656
0.135877125,0.182532239,-0.004505864,-1.048767124,1.064542532
0.145929125,0.452169426,0.258698947,-1.157600765,1.269417924
0.155980125,0.649098971,0.895664799,-0.917836856,1.437348045
0.166032125,1.19136405,1.476143332,-0.490202494,1.959246264
0.176083125,1.789995556,1.608074644,-0.251448984,2.4193418
0.186135125,2.4194606,1.211622605,-0.103589272,2.707868105
0.196187125,1.749828839,1.582698313,1.303411027,2.695499067
0.206238125,1.169413456,2.009119378,3.621989323,4.30382332
0.216290125,0.9402735,2.045576475,5.363048655,5.816424008
0.226341125,0.775926979,1.925547025,6.621433783,6.939249193
0.236393125,0.222735062,1.570165683,7.917312427,8.074581552
0.246445125,-0.588642123,0.848480546,9.225410582,9.283028557
0.256496125,-1.493798123,-0.139998715,10.65968113,10.76474961
0.266548125,-2.394929046,-0.616818686,10.99948856,11.27408085
0.276599125,-2.161940452,-0.330204401,11.05869863,11.27288059
0.286651125,-2.678177966,-0.285447473,10.72096813,11.05410671
0.296703125,-3.282921567,-0.749790144,8.719751558,9.347396777
0.306754125,-3.001895027,-1.095031683,6.958117629,7.656753169
0.316806125,-2.975465612,-1.259793722,5.626175698,6.488014243
0.326858125,-3.254843822,-1.317020129,4.597109597,5.784631966
0.336909125,-3.519409865,-1.136242494,3.468046169,5.069974066
0.346961125,-3.621613932,-0.886738951,2.402779371,4.43573468
0.357012125,-3.597293316,-0.485319922,2.295344385,4.294724726
0.367064125,-3.594646574,-0.314660236,2.834262956,4.588413839
0.377116125,-3.634750579,-1.064534726,2.513555456,4.545614039
0.387167125,-3.314361168,-1.993088359,1.309312622,4.083098175
0.397219125,-1.970000336,-2.005812924,5.511252183,6.186928756
0.407270125,-0.192939844,-2.790999407,-0.255009354,2.809258487
0.417322125,0.897658919,-3.077597466,-1.720525664,3.638352135
0.427374125,1.553006152,-2.914249065,-3.358599156,4.710081104
0.437425125,3.555290719,-2.769534863,-6.15566271,7.629062777
0.447477125,5.623307639,-2.959624628,-7.164353603,9.576477917
0.457528125,3.02638609,-1.925802402,-7.659034479,8.457454511
0.467580125,-10.52528054,1.199010746,-9.335507221,14.11987437
0.477632125,-14.52984675,1.534145227,-4.108144374,15.17718348
0.487683125,-4.51776025,-2.270016293,-4.891567776,7.03495323
0.497735125,-0.986366955,-2.31459108,-6.224672719,6.713925982
0.507786125,-0.357447017,-0.69667528,-6.546409328,6.593072114
0.517838125,0.806294932,-1.466134946,-7.843161546,8.019653748
0.527890125,0.935465627,-2.308109441,-9.149436539,9.482333791
0.537941125,1.182552442,-1.791717269,-9.688309502,9.923307012
0.547993125,0.627442273,-1.566017084,-10.19906437,10.33764999
0.558044125,-0.852310619,-2.46748349,-10.92985173,11.23728468
0.568096125,-2.4633001,-3.530408185,-11.56724033,12.34231251
0.578148125,-3.668508017,-4.876231114,-11.77970359,13.266386
0.588199125,-3.652800642,-5.781199418,-10.88687001,12.85648311
0.598251125,-3.039238855,-5.812122418,-9.458084157,11.50969573
0.608303125,-2.16536809,-5.208023765,-8.952238022,10.58087407
0.618354125,-1.110450572,-4.708636465,-10.22599197,11.31261551
0.628406125,0.735291315,-4.158664902,-11.95944817,12.68319942
0.638457125,1.061991334,-3.397553014,-11.86287088,12.38543086
0.648509125,0.156368872,-2.317952937,-9.760810883,10.03348325
0.658561125,-1.176953002,-1.146721143,-7.651275224,7.825739601
0.668612125,-2.018863471,0.450074807,-4.903203735,5.321633576
0.678664125,-1.740073052,3.346209198,-0.356695942,3.788430047
0.688715125,-1.069634375,6.596901205,5.458459427,8.628905059
0.698767125,0.130760845,7.578963293,12.45955818,14.58418229
0.708819125,1.773773187,6.62766633,19.91980312,21.06824123
0.718870125,3.234380906,5.359459049,26.33327717,27.06707423
0.728922125,4.03605376,5.072583539,28.4367592,29.16624946
0.738974125,4.339226922,6.22339861,26.25144422,27.32577362
0.749025125,3.958118562,7.00213313,22.63226097,24.01907175
0.759077125,3.282198851,7.437519146,18.80232069,20.48454987
0.769128125,2.675943745,7.566839676,15.63231587,17.57233727
0.779180125,2.95995061,7.615979676,13.46791403,15.75275095
0.789232125,3.486758721,7.128573321,11.82591413,14.24170949
0.799283125,3.452342594,5.867152319,9.610568431,11.77731596
0.809335125,2.839516387,4.328847529,6.480833389,8.294755913
0.819386125,2.183150642,2.744021122,2.602355951,4.366698426
0.829438125,1.630924686,0.861049575,-1.937771945,2.675122766
0.839490125,1.420942985,-0.916684955,-5.984026465,6.218356938
0.849541125,1.091892679,-2.463068842,-9.137183114,9.526124763
0.859593125,0.39150968,-4.171462119,-10.87032941,11.64982564
0.869645125,-0.457872946,-5.71187483,-11.59751721,12.93590226
0.879696125,-1.268673596,-6.873431236,-12.11734872,13.98870007
0.889748125,-2.547885629,-7.460786387,-12.31399058,14.62153955
0.899799125,-3.752840654,-8.110703822,-12.31949632,15.21963597
0.909851125,-4.588040273,-8.60215762,-12.29111861,15.68817472
0.919903125,-5.058075428,-8.703999744,-12.62018938,16.14351011
0.929954125,-5.219210073,-8.53132328,-13.73969846,16.99420326
0.940006125,-5.237669148,-8.38038384,-14.55139257,17.58996979
0.950057125,-4.998320392,-8.352632954,-14.39882936,17.38033287
0.960109125,-4.752308442,-8.285916224,-13.74880024,16.74127687
0.970160625,-4.784463742,-8.138172287,-12.20773615,15.43210171
0.980211625,-4.538178727,-7.740501981,-9.488129489,13.05890647
0.990263625,-4.137398287,-7.782234728,-6.935108251,11.21503314
1.000315625,-3.887713408,-7.441641433,-5.094880142,9.820903544
1.010366625,-3.70338432,-6.853400429,-3.96114128,8.739267309
1.020418625,-3.195586092,-6.16749572,-3.242582796,7.665775702
1.030469625,-2.717889039,-5.315687962,-2.83961959,6.611119327
1.040521625,-2.901359755,-4.409160206,-2.813560889,5.98119612
1.050573625,-2.841586886,-3.462405067,-2.655490769,5.20715816
1.060624625,-2.556740945,-2.348945226,-2.06048629,4.037334726
1.070676625,-2.137833259,-0.930186176,-0.991928095,2.533672968
1.080728625,-1.76910784,0.677049977,0.358682241,1.927898382
1.090779625,-1.730310102,2.516240205,1.824962783,3.557516968
1.100831625,-1.964063365,4.553562751,3.280344114,5.945850329
1.110882625,-1.945418934,6.917674778,5.134624836,8.831944937
1.120934625,-0.78663937,9.103879713,8.394720043,12.40849515
1.130986625,1.564469326,10.37072108,13.22695378,16.88051322
1.141037625,5.313902807,10.94465688,19.00145814,22.56276775
1.151089625,9.112951668,10.7703315,26.0556771,29.63012382
1.161141625,12.44742521,9.770524278,31.66857143,35.40197672
1.171192625,14.43000203,8.804326855,32.92250215,37.00854331
1.181244625,13.78043718,8.81593007,29.14433545,33.42174982
1.191295625,11.27238396,9.484563857,23.38439534,27.63790037
1.201347625,9.96691354,9.238534073,19.16194784,23.4919161
1.211399625,9.331524097,8.333502619,16.62315112,20.80513785
1.221450625,8.679066632,7.356887797,14.54010042,18.46251651
1.231502625,7.912800715,6.069078895,11.90644433,15.53092239
1.241554625,6.949591804,4.409732356,8.430707316,11.78216413
1.251605625,5.719322428,2.377631374,4.222772605,7.496371687
1.261657625,4.311412009,0.238366424,-0.1160263,4.319554858
1.271708625,2.879112854,-1.777851766,-4.341671643,5.504558146
1.281760625,1.631426669,-3.646422499,-8.113711045,9.0437966
1.291812625,0.487686437,-5.218778549,-11.05118379,12.2311958
1.301863625,-0.77581939,-6.454312758,-13.38265929,14.87802469
1.311915625,-1.925388712,-7.559729462,-14.75486632,16.69019806
1.321967625,-3.183655433,-8.528275126,-15.11711887,17.64637134
1.332018625,-4.335855125,-9.163237723,-15.16770313,18.24345865
1.342070625,-5.150632759,-9.469376884,-15.20635323,18.63950897
1.352121625,-5.668967961,-9.660374429,-15.14126553,18.83395746
1.362173625,-5.847881066,-9.986260808,-15.00054761,18.94569994
1.372225625,-6.224607815,-10.20798372,-14.79892859,19.02516653
1.382276625,-6.511255867,-10.32788321,-14.58581279,19.02123969
1.392328625,-6.411129316,-10.3570234,-14.40940931,18.86800438
1.402380625,-6.162708605,-10.15234512,-13.97413907,18.3391835
1.412431625,-5.876171064,-9.885910892,-12.83194864,17.23135301
1.422483625,-5.565299166,-9.660159836,-11.2514404,15.83938616
1.432534625,-5.073299239,-9.469602587,-9.654397405,14.44365354
1.442586625,-4.655047903,-9.19205514,-7.983557872,13.03459033
1.452638625,-4.489380789,-8.713120231,-6.220760931,11.60908569
1.462689625,-4.438376403,-8.07715893,-4.429992081,10.22567902
1.472741625,-4.144495637,-7.70449775,-2.651577812,9.141498486
1.482793625,-3.502580409,-7.176101829,-0.909132106,8.03685437
1.492844625,-2.82143855,-6.022154989,0.504843337,6.669462722
1.502896625,-2.142280944,-4.256463093,1.169230877,4.906520819
1.512948625,-1.482857105,-1.886324633,1.53589866,2.848871796
1.522999625,-1.127481172,0.65689404,2.579818443,2.891052883
1.533051625,-0.078064714,3.254165253,4.746522329,5.755446101
1.543102625,2.173799483,5.64876817,8.168139267,10.16624243
1.553154625,3.818655744,7.583465649,12.46448388,15.0815928
1.563206625,4.523037947,8.601415023,16.56269208,19.20325445
1.573257625,3.841196761,8.662906682,19.8032073,21.95376424
1.583309625,3.033863802,8.166207347,21.39627887,23.10177528
1.593361625,2.912977881,8.437056223,21.60637868,23.37744549
1.603412625,3.31613229,9.43978588,20.75676889,23.04234679
1.613464625,3.732116953,10.25381536,19.73363947,22.5496331
1.623516625,4.103190906,10.38106715,18.88164986,21.93443485
1.633567625,4.751063277,9.908207495,17.95288748,21.04878493
1.643619625,5.521538604,9.277944306,16.74706531,19.92565772
1.653670625,6.299942172,8.369885749,15.36641842,18.59760936
1.663722625,6.693535799,6.92413829,13.74426865,16.78249186
1.673774625,6.623852191,5.136270828,11.48530447,14.21861156
1.683825625,5.872845753,3.276458932,8.242607651,10.63795475
1.693877625,4.708408424,1.560959827,4.365938172,6.608110289
1.703929625,3.381518194,-0.057440708,0.303391555,3.395587014
1.713980625,2.135293229,-1.459855621,-3.61884586,4.448224474
1.724032625,1.212963664,-2.536209909,-7.05014988,7.590010203
1.734084625,0.530397131,-3.531163353,-9.736064297,10.37021619
1.744135625,-0.119081763,-4.468416474,-11.51309979,12.35040052
1.754187625,-0.914591067,-5.374116849,-12.45159662,13.59264018
1.764238625,-1.811762986,-6.205557001,-12.8463784,14.3812677
1.774290625,-2.573843466,-6.913102255,-13.01912269,14.96372977
1.784342625,-3.234628536,-7.467890754,-13.16162869,15.47451724
1.794393625,-3.841041809,-7.714163783,-13.31997363,15.86453978
1.804445625,-4.3148338,-7.851055872,-13.62588124,16.30709994
1.814497625,-4.684767546,-7.927653227,-13.99563226,16.75328192
1.824548625,-4.915314488,-7.798860701,-14.24334137,16.96629948
1.834600625,-5.105188783,-7.546308932,-14.29540848,16.95194486
1.844652625,-5.139803131,-7.365320066,-13.636101,16.3281587
1.854703625,-4.930745291,-7.136274689,-12.24576059,15.00657583
1.864755625,-4.683934025,-6.984950502,-10.76231964,13.65856125
1.874806625,-4.484618231,-6.808150581,-9.217636124,12.30558941
1.884858625,-4.430024241,-6.596150422,-7.613099923,11.00425398
1.894910625,-4.469408454,-6.612737803,-6.094128951,10.04202773
1.904961625,-4.769243732,-6.62458894,-4.615612527,9.377352686
1.915013625,-4.79755215,-6.431686372,-3.347125749,8.69404089
1.925065625,-4.372535293,-6.033442454,-2.458322657,7.846326722
1.935116625,-3.833413532,-5.472917837,-1.995079921,6.973394643
1.945168625,-3.201605216,-4.69155324,-1.775831553,5.951010458
1.955220625,-2.695194825,-3.5984344,-1.400321025,4.708896288
1.965271625,-2.406746415,-2.341742626,-0.895782913,3.475430025
1.97532375,-2.138760043,-0.929029596,-0.5353927,2.392495738
1.98537475,-1.877228705,1.125208359,0.213287716,2.198993659
1.99542675,-1.012620222,3.817638913,2.126005511,4.48549507
2.00547875,1.074624974,6.818239952,5.610045569,8.894707761
2.01552975,3.94900246,9.287230854,10.79805548,14.77989444
2.02558175,6.627877414,10.33413973,16.96809357,20.94371988
2.03563375,8.488811683,9.841065087,23.01843214,26.43396876
2.04568475,9.159156951,8.297995402,28.1796735,30.77077969
2.05573675,8.803649747,6.976228795,30.74558844,32.73321288
2.06578875,7.732913464,6.519930212,29.74221793,31.41507549
2.07583975,7.384201895,6.896237715,26.45957937,28.32302725
2.08589175,7.494487399,7.631874747,22.86607008,25.24420754
2.09594275,8.130244632,7.54488572,19.86771378,22.75416949
2.10599475,9.112980319,7.092948575,16.96030976,20.51849012
2.11604675,9.243127061,6.776897213,13.60121067,17.78636178
2.12609775,7.991146388,5.978812503,10.34226736,14.37244286
2.13614975,6.144188719,4.208000785,7.324694781,10.4455483
2.14620175,4.326998932,2.13769965,4.254248167,6.433607621
2.15625275,2.729508626,0.301987346,1.049102755,2.939733029
2.16630475,1.509752251,-1.299408608,-2.316284434,3.054993972
2.17635675,0.403458757,-2.546537553,-5.673340509,6.231727289
2.18640775,-0.546247763,-3.575534949,-8.728938704,9.448661687
2.19645975,-0.899593543,-4.636304069,-11.0025139,11.9732993
2.20651175,-1.528721203,-5.791478823,-12.42782184,13.79597663
2.21656275,-2.17518498,-6.775040722,-12.94077,14.76807823
2.22661475,-2.474128558,-7.475680414,-12.9496718,15.15589356
2.23666575,-2.704802678,-7.988536191,-13.07764864,15.56141259
2.24671775,-2.988864215,-8.403281536,-13.48611875,16.16860689
2.25676975,-3.284040139,-8.768739531,-13.91661416,16.77342727
2.26682075,-3.580231433,-9.03477381,-14.38790676,17.3625187
2.27687275,-3.983801872,-9.111741879,-14.87635275,17.89414397
2.28692475,-4.269391871,-9.144261169,-15.42830768,18.43577764
2.29697575,-4.559359973,-9.225591261,-15.78719926,18.84502475
2.30702775,-4.943050171,-9.224218335,-15.47658113,18.682733
2.31707975,-5.197915683,-9.224085603,-14.32038077,17.80941852
2.32713075,-5.272193449,-9.205743472,-12.69543486,16.54435865
2.33718275,-5.304316882,-9.249927957,-10.90143426,15.24920371
2.34723475,-5.231175231,-9.082399381,-8.987249395,13.80673113
2.35728575,-4.730008331,-8.806760466,-6.962396622,12.18224016
2.36733775,-3.840793303,-8.528678584,-4.743860092,10.48781484
2.37738875,-3.43342539,-8.065299608,-2.586277277,9.139272281
2.38744075,-3.577893716,-7.629263381,-0.849789884,8.469304932
2.39749275,-3.892805748,-7.400457739,0.17600353,8.363712608
2.40754375,-4.465623551,-7.120403591,0.398554405,8.41432033
2.41759575,-4.869951789,-6.514763027,0.189680167,8.136003091
2.42764775,-4.846094565,-5.366536519,-0.251959446,7.235180046
2.43769875,-4.269063258,-3.764810489,-0.622560067,5.725930506
2.44775075,-3.182416993,-1.809163021,-0.26591675,3.670362444
