Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
-0.002222708,0.655193524,0.738689278,-2.652498749,2.83031624
0.007829292,1.044833264,0.886732593,-2.272045569,2.653330418
0.017880292,1.290092532,1.168231003,-1.295935947,2.169919905
0.027932292,1.798821636,1.410644284,-0.169128959,2.292221887
0.037984292,2.352081234,1.450455637,0.639863732,2.836464927
0.048035292,2.542144248,1.523528291,0.97597923,3.120283847
0.058087292,2.369524648,1.439405861,0.920270467,2.921204208
0.068139292,1.977070058,1.016207489,0.425718815,2.263342701
0.078190292,1.336516939,0.655854405,-0.162340341,1.49759037
0.088242292,0.651615028,0.523057998,-0.47931147,0.963291908
0.098294292,0.283341452,0.472969287,-0.55632924,0.783252545
0.108346292,0.187435421,0.531939627,-0.615021252,0.834471656
0.118397292,0.234231273,0.643267104,-0.720638339,0.993970056
0.128449292,0.384743428,0.789915858,-0.939694333,1.286475809
0.138501292,0.583998703,0.9456544,-1.262819656,1.682269364
0.148552292,0.648209025,1.108960994,-1.529574897,1.997390495
0.158604292,0.611725981,1.259208708,-1.717675146,2.215902334
0.168656292,0.69598772,1.316091007,-1.826950836,2.356744323
0.178708292,0.646906484,1.300208507,-1.824666914,2.332046206
0.188759292,0.493366349,1.303811561,-1.771411643,2.2541593
0.198811292,0.327195643,1.291035103,-1.550890921,2.044282582
0.208863292,0.275700092,1.225846542,-1.272643563,1.78838808
0.218914292,0.26645177,1.204365041,-0.993158349,1.583620916
0.228966292,0.343076023,1.205394444,-0.851921194,1.515403129
0.239018292,0.427433365,1.210927664,-0.81451831,1.520685755
0.249069292,0.382376402,1.207159133,-0.931654412,1.572076597
0.259121292,0.311949028,1.162725849,-1.145293545,1.661607926
0.269173292,0.068994002,1.076923514,-1.458152327,1.814037661
0.279225292,-0.136231573,1.015422792,-1.646743158,1.939434329
0.289276292,-0.225812306,1.059400578,-1.228747931,1.638029994
0.299328292,-0.022559819,1.226871559,-0.144339688,1.235539038
0.309380292,0.26632061,1.509190041,0.951330292,1.803776752
0.319431292,0.551261495,1.731825408,1.825990139,2.576305197
0.329483292,0.536974189,1.877896457,2.664798952,3.303935507
0.339535292,0.1133806,1.662210213,3.237560037,3.641097767
0.349586292,-0.17218031,1.431388159,3.422135001,3.713425115
0.359638292,-0.298983504,1.619083197,3.229216645,3.624729187
0.369690292,-0.428756955,1.607029454,2.587886431,3.076285483
0.379742292,-0.603232205,1.347025993,1.723814723,2.269340283
0.389793292,-0.708609666,1.287069229,0.922802312,1.735004025
0.399845292,-0.479324407,1.609252566,0.370055661,1.719414696
0.409897292,-0.355481476,2.246402313,0.184320025,2.281811627
