Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.005296083,-0.61430833,0.600541207,-0.492474722,0.990230184
0.015352083,-0.540654609,0.647626496,-0.417470148,0.941280409
0.025407083,-0.425056764,0.548671142,-0.22748651,0.730385779
0.035463083,-0.361544746,0.427340832,0.007501978,0.559813424
0.045519083,-0.25884922,0.251195215,0.031229979,0.362045945
0.055575083,-0.103267383,0.17625613,-0.113082812,0.233491109
0.065630083,-0.107549153,0.197952223,-0.312081102,0.384898061
0.075686083,-0.245361594,0.422033315,-0.328206554,0.588246523
0.085742083,-0.325634656,0.625762003,-0.228439606,0.741485446
0.095797083,-0.315973301,0.570428631,-0.116978812,0.662504334
0.105853083,-0.201942948,0.437598018,0.02253283,0.482473531
0.115909083,-0.089202783,0.364752821,0.095513683,0.387459185
0.125964083,-0.116283285,0.315991135,0.078985943,0.345848203
0.136020083,-0.226886439,0.322100891,0.22030379,0.451398051
0.146076083,-0.366416938,0.367500427,0.486662589,0.71144811
0.156132083,-0.413441416,0.400599176,0.638490222,0.859699522
0.166187083,-0.466417921,0.374770271,0.575985825,0.830516769
0.176243083,-0.48024834,0.325287623,0.397907118,0.703406412
0.186299083,-0.459350245,0.199343276,0.129437474,0.517198655
0.196354083,-0.588563771,-0.655339558,0.091008988,0.885528026
0.206410083,0.637231316,-0.025971578,0.274257218,0.694230001
0.216466083,0.54709751,0.1869349,-0.502559999,0.766046275
0.226521083,-0.199690016,-0.408080104,-1.364261246,1.437920103
0.236577083,0.307683704,-0.326097463,-1.648249401,1.708137847
0.246633083,0.934606963,-0.058015489,-1.698039612,1.939122094
0.256689083,1.149027139,-0.25776924,-1.666302094,2.040409522
0.266744083,1.244729394,-0.440673069,-1.352866192,1.890447289
0.276800083,1.078674463,-0.390886366,-0.702959282,1.345541713
0.286856083,0.844856588,-0.073903251,0.063236468,0.850437062
0.296911083,1.048510139,0.104424255,0.431430375,1.138600064
0.306967083,1.330398559,-0.132061412,0.744858676,1.530429674
0.317023083,1.675138261,-0.330883409,0.92140892,1.940249061
0.327078083,2.114945649,-0.556249426,0.905687512,2.366997759
0.337134083,2.519235442,-0.703696324,0.707545838,2.709678365
0.347190083,2.795808742,-0.83444182,0.536248732,2.966547215
0.357245083,3.20665341,-1.109565011,0.37422648,3.413767136
0.367301083,3.531679955,-1.657000344,0.031834581,3.901208388
0.377357083,3.289789122,-1.573538649,-0.59073952,3.694280651
0.387413083,3.333804038,-1.328387116,-1.098995876,3.753219102
0.397468083,3.359594352,-1.315787536,-1.807571994,4.035528164
0.407524083,3.197404284,-1.159709271,-2.352951154,4.135782741
0.417580083,2.705736186,-0.793972364,-2.398098675,3.701658773
0.427635083,2.099798875,-0.195686427,-1.54508756,2.614334344
0.437691083,1.272879206,1.152864228,-0.533295888,1.798255239
0.447747083,1.388910769,1.238429896,-1.116041095,2.169868534
0.457803083,1.269781351,0.378020884,-0.860755168,1.579918962
0.467858083,-0.06003044,0.796982949,0.315863666,0.859392419
0.477914083,0.023577728,1.08062641,1.051483741,1.507954709
0.487970083,1.096462278,0.354027419,-0.536464495,1.270967778
0.498025083,0.606129976,0.401213134,-3.420526432,3.496908148
0.508081083,-0.365536348,0.453831643,-4.39678165,4.435230418
0.518137083,-2.261886909,-0.556966587,-3.163947101,3.928982747
0.528192083,-2.635956683,-0.724301035,-0.091957406,2.735203062
0.538248083,-2.047094705,-0.840909133,4.240517735,4.783274565
0.548304083,-1.100533109,-1.063096311,4.68815016,4.931541221
0.558360083,-1.465800485,-1.782023462,3.425164443,4.129882583
0.568415083,-1.415424383,-2.336654379,2.864738644,3.958548644
0.578471083,-1.075225483,-1.680913117,3.145247705,3.724803602
0.588527083,-1.480993013,-0.587857719,3.68027203,4.010401379
0.598582083,-1.899437892,0.284324662,4.313606177,4.721853774
0.608638083,-2.886317501,1.562424262,5.29943738,6.233460904
0.618694083,-3.748375428,2.774446524,6.187538221,7.748128878
0.628749083,-4.377386436,3.319201786,6.741672417,8.696479718
0.638805083,-4.349261329,3.039235054,5.601846603,7.715809043
0.648861083,-3.535219274,1.876750402,6.140357038,7.329662472
0.658916083,-3.262832873,2.065823629,7.932261418,8.822384985
0.668972083,-2.807130121,2.411844017,9.051644781,9.779020622
0.679028083,-2.087786794,1.957561554,9.619402989,10.03612549
0.689084083,-2.02744923,1.054701756,10.52370646,10.76899921
0.699139083,-2.273068832,0.939888461,10.96954262,11.24193478
0.709195083,-2.395913424,-0.103249257,10.0976795,10.37854483
0.719251083,-0.596848325,-0.385789056,8.914900627,8.94318256
0.729306083,1.062549012,0.582173933,7.775596969,7.869424701
0.739362083,0.352326318,0.154771121,5.639282232,5.652397016
0.749418083,0.315620641,-0.149353968,1.685154687,1.72095012
0.759473083,-0.37996395,-1.091463493,-0.835737855,1.426226813
0.769529083,-1.3102511,-2.026703417,-1.687777163,2.944974778
0.779585083,-0.768983995,-2.121494384,-1.392347762,2.651548057
0.789641333,0.677577104,-1.483660221,-1.887547286,2.494632867
0.799696333,0.506789473,-1.471309147,-3.109255169,3.476931676
0.809752333,-1.0785793,-1.815073387,-5.532198079,5.921405263
0.819808333,-0.673791763,-2.472947713,-7.501752564,7.9275316
0.829863333,-0.790884595,-3.279037262,-9.542394574,10.12101171
0.839919333,-1.159953903,-3.222438553,-11.10849586,11.62446917
0.849975333,0.87460057,-3.343896917,-11.38964051,11.90254106
0.860030333,1.951339824,-3.78758364,-10.67721926,11.49593529
0.870086333,2.325742743,-4.217152262,-10.3896415,11.45155461
0.880142333,1.605589285,-4.510650328,-11.13372425,12.11955854
0.890198333,0.983584192,-4.422442741,-10.80132291,11.71298486
0.900253333,-0.396496185,-3.789232263,-8.8090631,9.597660291
0.910309333,-1.763928523,-2.857174101,-8.013902582,8.68893102
0.920365333,-3.164015513,-2.565775478,-7.92919046,8.914384966
0.930420333,-4.270703986,-2.695607931,-7.80064761,9.2927562
0.940476333,-4.588099915,-3.060371277,-7.850915539,9.594446726
0.950532333,-4.780873844,-3.723865654,-7.944815975,9.992198507
0.960587333,-4.77343911,-4.258012312,-7.398857941,9.780566886
0.970643333,-4.787507803,-4.562487649,-7.109500288,9.709867088
0.980699333,-4.801586729,-4.673412546,-5.920067282,8.941097055
0.990755333,-4.115156356,-4.533472888,-4.650070753,7.688305812
1.000810333,-3.58864733,-4.262009761,-3.439039301,6.547526875
1.010866333,-2.597541354,-3.647413894,-2.229125252,5.001984465
1.020922333,-1.135854385,-3.153388199,-1.094950188,3.526037185
1.030977333,0.581640667,-2.828410478,-1.370122495,3.196161346
1.041033333,3.750678354,-2.480170486,-5.292274541,6.944566479
1.051089333,0.469714142,-2.013395154,-3.692502651,4.231898776
1.061144333,-0.331276926,0.00658338,0.776129585,0.843898617
1.071200333,2.261558296,3.249495374,1.576536224,4.261376841
1.081256333,4.406189235,4.935147659,0.733102849,6.656397358
1.091312333,4.626590674,6.300097123,1.58403294,7.975319766
1.101367333,2.956563903,8.483432245,5.548817035,10.55932115
1.111423333,2.419578714,11.26876804,12.71539024,17.16160375
1.121479333,4.026817791,13.3633892,18.76596738,23.38711107
1.131534333,6.924432989,13.66587853,18.72977077,24.19727922
1.141590333,9.420764887,11.64799272,16.41493177,22.22333302
1.151646333,11.19782494,8.603055167,15.70001493,21.11620966
1.161701333,11.23060677,6.786471444,16.01652472,20.70535648
1.171757333,8.89211812,7.304307879,17.90994904,21.28823508
1.181813333,7.316872376,6.972935643,18.93044487,21.45973429
1.191869333,6.342957798,4.489367632,16.65586395,18.37948148
1.201924333,4.245330871,3.248174196,13.20569214,14.24653553
1.211980333,2.421471165,2.717205499,9.597637314,10.26456869
1.222036333,2.384181425,1.885826451,4.961389378,5.818594936
1.232091333,3.392614748,0.33517088,1.060305435,3.570213154
1.242147333,0.472387489,-2.248502925,-3.21877001,3.954667587
1.252203333,0.421143953,-3.01795002,-8.962159578,9.466028145
1.262258333,1.595968422,-2.153395331,-11.67069863,11.97453269
1.272314333,0.158285151,-1.720988764,-9.667593986,9.820856887
1.282370333,-0.085310438,-1.313384623,-4.617614613,4.801522858
1.292426333,-3.326499111,-2.755548031,-8.817066184,9.818314386
1.302481333,-3.736549434,-4.670574307,-9.182241758,10.95854141
1.312537333,-2.844650534,-5.383888131,-12.97732913,14.33490005
1.322593333,-2.391131864,-4.190755591,-13.01126286,13.877064
1.332648333,-1.571846758,-4.364333112,-11.95664384,12.82495371
1.342704333,-1.080612376,-4.737906457,-12.26160655,13.18948353
1.352760333,-0.67451097,-4.544613295,-12.57201184,13.38521411
1.362815333,-0.474947839,-4.180054017,-12.6586091,13.33937073
1.372871333,-0.782267115,-4.215264196,-12.96696553,13.6573273
1.382927333,-1.050706792,-4.261803062,-13.12703656,13.84146087
1.392982333,-1.157771942,-4.075911598,-12.89814146,13.5762861
1.403038333,-1.382298591,-4.12045481,-12.2075315,12.95811415
1.413094333,-1.396619738,-4.246297708,-11.47397256,12.31396107
1.423150333,-1.52081109,-4.234619064,-10.71754634,11.62371131
1.433205333,-1.851234908,-4.505844209,-10.08831928,11.20285181
1.443261333,-2.242936668,-4.521991587,-9.552676903,10.80429585
1.453317333,-2.527356055,-4.396206284,-9.256443509,10.55442584
1.463372333,-2.209371458,-4.115324171,-8.954463472,10.09948669
1.473428333,-1.648951505,-3.555789194,-8.213951617,9.101191077
1.483484333,-0.975929967,-3.153430006,-7.223848438,7.942326256
1.493540333,-0.431367956,-2.716477228,-6.077745053,6.671155206
1.503595333,0.242514731,-2.382929536,-4.361377929,4.975819933
1.513651333,0.613062435,-2.106916106,-2.311644083,3.187262053
1.523707333,0.627397176,-1.825022424,-0.566495209,2.011280907
1.533762333,0.428221569,-1.235359085,1.619520276,2.081425402
1.543818333,0.719056082,0.081627423,4.439675655,4.498269068
1.553874333,0.917749294,2.902699353,7.131606272,7.754207588
1.563929333,1.017570913,6.109246927,8.955547546,10.88853436
1.573985333,1.424718971,9.088648885,11.38351614,14.63618128
1.584041333,1.78958055,10.83987243,15.64077796,19.11385278
1.594096333,2.379861209,10.51955728,22.79084448,25.21403214
1.604152333,3.763373244,9.470787817,31.14177004,32.7668833
1.614208333,5.101585144,8.735123888,37.27342233,38.62171116
1.624264333,5.810737213,7.9702461,38.64117963,39.88019876
1.634319333,5.259585097,8.032987894,35.2344,36.51924251
1.644375333,4.491480231,8.311812372,29.5134655,30.98877644
1.654431333,3.417200828,8.641851443,23.80563577,25.55517858
1.664486333,1.948491207,7.855783346,19.71340108,21.31028231
1.674542333,0.76790036,5.846519249,17.28548161,18.26360678
1.684598333,0.396717758,3.767742283,14.56627256,15.05089908
1.694653333,-0.017310865,1.964079153,10.34875309,10.53349881
1.704709333,-0.783261361,0.347809052,5.015061556,5.087760991
1.714765333,-1.349696417,-0.916950126,-0.530882742,1.715900474
1.724820333,-1.337147269,-2.236628107,-5.028027756,5.663173247
1.734876333,-1.285072259,-3.61716654,-8.321756147,9.164438328
1.744932333,-1.01928751,-4.849468408,-10.87266128,11.9486842
1.754988333,-0.395871191,-5.836992965,-12.83029037,14.10118973
1.765043333,-0.172138776,-6.491050229,-14.58555668,15.96564526
1.775099333,-0.520911303,-6.807241339,-16.83943963,18.17076251
1.785155833,-2.735039799,-7.147476785,-18.47244417,19.99495088
1.795210833,-2.93492862,-9.138692865,-18.79521749,21.10425819
1.805266833,2.20125216,-6.295242764,-20.02983836,21.11089807
1.815322833,1.159722427,-4.490494975,-19.79583279,20.33185917
1.825377833,-0.133152941,-6.603419681,-18.1502848,19.31465039
1.835433833,0.593947521,-6.938347024,-16.17211679,17.60769134
1.845489833,0.371530402,-6.765350717,-13.82544905,15.39646214
1.855545833,0.497248389,-6.799849289,-12.28904168,14.05367396
1.865600833,0.535187901,-6.733086365,-11.38871782,13.24098832
1.875656833,0.452697356,-6.516465737,-10.4275338,12.30458133
1.885712833,0.377967821,-6.287425037,-9.698104173,11.56407358
1.895767833,0.633742867,-6.014704467,-9.041444314,10.8777762
1.905823833,1.066136863,-5.60386857,-8.118984064,9.922595074
1.915879833,1.151673954,-5.315202643,-7.446049649,9.22070428
1.925934833,1.148659056,-5.071222892,-7.091574479,8.793585608
1.935990833,0.967425923,-4.754959277,-6.840791493,8.387012513
1.946046833,0.757394302,-4.549531973,-6.482189943,7.955543587
1.956101833,0.401460946,-4.476570416,-5.773143125,7.31642229
1.966157833,0.034686122,-4.47403711,-5.024535799,6.727865277
1.976213833,-0.090791435,-4.332587408,-4.058421407,5.937199765
1.986269833,-0.299844269,-4.116486012,-3.142015364,5.187255944
1.996324833,-0.42013889,-3.867922337,-2.33186317,4.535959186
2.006380833,-0.322124353,-3.445625897,-1.470674139,3.760184084
2.016436833,-0.331948333,-2.79767605,-0.185835038,2.823422682
2.026491833,-0.711156567,-1.898663866,1.518204401,2.532905988
2.036547833,-0.818305186,-0.625147168,2.932718958,3.108258812
2.046603833,-0.863581419,0.792731877,5.002282466,5.137803671
2.056658833,-0.990970321,1.986566083,8.399584926,8.688008628
2.066714833,-0.703933429,3.182185443,12.6695317,13.08200519
2.076770833,-0.130567193,4.207524821,16.78029738,17.30025124
2.086826833,0.431486216,4.881732759,20.46786498,21.04640093
2.096881833,0.672833843,4.99795845,23.69666472,24.22734432
2.106937833,0.825519261,4.573682143,26.69380245,27.09537119
2.116993833,0.836102795,4.343831019,28.98514149,29.3207497
2.127048833,0.683222956,4.068783842,29.32976235,29.61852048
2.137104833,0.770969198,4.206697148,27.81961132,28.14642905
2.147160833,0.837582287,4.552360271,25.2233774,25.64457634
2.157215833,0.806205323,4.692570071,22.2328096,22.73693039
2.167271833,0.766508284,4.179405561,19.38892272,19.84906269
2.177327833,0.670894614,3.080706431,16.91987743,17.21113314
2.187382833,1.053295501,2.180684287,14.6816124,14.88000531
