"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.688166574E-3,9.786970156E-1,-1.387089946E0,-1.634060547E0,2.356272531E0
1.774316665E-2,1.290452136E0,-1.349121051E0,-1.348525804E0,2.303023267E0
2.779916662E-2,1.539828574E0,-1.392139601E0,-1.281072325E0,2.439317734E0
3.785516659E-2,1.602223335E0,-1.471525494E0,-1.629527786E0,2.718063226E0
4.791016667E-2,1.530896367E0,-1.453081622E0,-2.061316595E0,2.950273884E0
5.796616664E-2,1.483810202E0,-1.340571252E0,-2.604787223E0,3.283860605E0
6.802216661E-2,1.432336285E0,-1.155992780E0,-3.093169479E0,3.599389388E0
7.807716657E-2,1.393186837E0,-9.306533682E-1,-3.366009332E0,3.759934052E0
8.813316666E-2,1.376376970E0,-7.992488909E-1,-3.353380516E0,3.711923118E0
9.818916663E-2,1.357105424E0,-7.333840996E-1,-3.037594618E0,3.406841415E0
1.082441666E-1,1.311338975E0,-6.598629642E-1,-2.447624007E0,2.854100965E0
1.183001667E-1,1.208667130E0,-6.367588609E-1,-1.677805322E0,2.163647101E0
1.283561666E-1,9.933165166E-1,-6.952777952E-1,-8.831780702E-1,1.500030806E0
1.384121666E-1,8.656358385E-1,-8.084179097E-1,-5.610052586E-2,1.185753849E0
1.484671666E-1,1.085484130E0,-7.701113382E-1,5.276737905E-1,1.431707687E0
1.585231667E-1,1.555258791E0,-4.454049280E-1,9.570324969E-1,1.879661315E0
1.685791666E-1,2.165757515E0,-8.321494192E-2,1.222231209E0,2.488228178E0
1.786341666E-1,2.768099957E0,-5.804355562E-2,8.741774511E-1,2.903434628E0
1.886901666E-1,3.210110283E0,-4.586020938E-1,6.614955068E-2,3.243377819E0
1.987461667E-1,3.573707110E0,-7.432211629E-1,-2.352270538E-1,3.657744109E0
2.088011666E-1,3.635524166E0,-8.989664295E-1,-3.088148475E-2,3.745147563E0
2.188571666E-1,3.404683109E0,-1.128754988E0,2.938144004E-1,3.598927867E0
2.289131667E-1,2.785639557E0,-1.389920583E0,5.022243690E-1,3.153394407E0
2.389681666E-1,2.202770390E0,-1.495944928E0,5.774973303E-1,2.724619567E0
2.490241666E-1,1.482722912E0,-1.502546289E0,1.016447809E0,2.342920983E0
2.590801666E-1,1.072712642E0,-1.892155769E0,1.354075397E0,2.562125299E0
2.691361667E-1,1.887796962E-1,-1.820677797E0,1.756287235E0,2.536740086E0
2.791916666E-1,2.331173784E-1,-1.008526806E0,1.913860341E0,2.175851887E0
2.892476666E-1,4.617984742E-1,-7.172501698E-1,2.251701352E0,2.407875540E0
2.993036666E-1,7.802881247E-1,-3.201248243E-1,2.296606799E0,2.446575617E0
3.093586667E-1,1.150422430E0,1.316018209E-1,2.262774224E0,2.541837524E0
3.194146666E-1,1.750859557E0,3.303173983E-1,1.733693009E0,2.486022973E0
3.294706666E-1,1.992758576E0,2.795497524E-1,1.431309514E0,2.469388939E0
3.395256667E-1,2.247739863E0,1.406299949E-1,1.084263232E0,2.499547568E0
3.495816666E-1,2.414425855E0,6.771587357E-2,9.180058408E-1,2.583945118E0
3.596376666E-1,2.627211003E0,2.286658931E-1,6.470616549E-1,2.715366371E0
3.696926666E-1,2.621189833E0,4.000939769E-1,4.783957958E-1,2.694359639E0
